"Position","Pattern","TP","SL","TrailAct","TrailRev","BeAct","BeMoveTo","TotalTrades","WinRate","NetProfit","AvgPnL","ProfitFactor","SharpeRatio","MaxDrawdown"
"Short","fixed",600,600,NA,NA,NA,NA,141,0.446808510638298,-9280,-65.8156028368794,0.795233892321271,-0.11276268766762,13030
"Short","breakeven",NA,NA,NA,NA,900,0,141,0.418439716312057,-17790,-126.170212765957,0.720502749410841,-0.113832509670059,21700
"Short","fixed",500,600,NA,NA,NA,NA,141,0.48936170212766,-8740,-61.9858156028369,0.792989104689721,-0.114282357165216,11330
"Short","breakeven",NA,NA,NA,NA,900,50,141,0.546099290780142,-17950,-127.304964539007,0.717989002356638,-0.115267575910329,21380
"Short","fixed",500,700,NA,NA,NA,NA,141,0.524822695035461,-9640,-68.3687943262411,0.788689171416046,-0.115754531777649,11130
"Long","fixed",300,1000,NA,NA,NA,NA,141,0.695035460992908,-9330,-66.1702127659574,0.757851025175188,-0.115884034564427,13850
"Short","breakeven",NA,NA,NA,NA,400,0,141,0.25531914893617,-15200,-107.801418439716,0.668773153192417,-0.116825285662094,19650
"Short","fixed",700,500,NA,NA,NA,NA,141,0.368794326241135,-9480,-67.2340425531915,0.783759124087591,-0.118779611312272,14500
"Short","breakeven",NA,NA,NA,NA,1000,50,141,0.531914893617021,-18890,-133.971631205674,0.711823035850496,-0.12029033827647,21380
"Short","fixed",300,700,NA,NA,NA,NA,141,0.638297872340426,-8110,-57.5177304964539,0.768219491283224,-0.120597443437281,9270
"Short","fixed",100,400,NA,NA,NA,NA,141,0.74468085106383,-3740,-26.5248226950355,0.737359550561798,-0.122086723729401,4700
"Long","fixed",200,1000,NA,NA,NA,NA,141,0.773049645390071,-8400,-59.5744680851064,0.720930232558139,-0.122172279933348,9520
"Short","breakeven",NA,NA,NA,NA,600,0,141,0.333333333333333,-17820,-126.382978723404,0.679784366576819,-0.123105295673007,22200
"Short","breakeven",NA,NA,NA,NA,1000,20,141,0.531914893617021,-19370,-137.375886524823,0.704500381388253,-0.123405178896047,21560
"Short","fixed",800,700,NA,NA,NA,NA,141,0.425531914893617,-12240,-86.8085106382979,0.774585635359116,-0.12355707428537,18200
"Short","breakeven",NA,NA,NA,NA,1000,10,141,0.531914893617021,-19530,-138.510638297872,0.702059496567506,-0.124442083473615,21630
"Short","breakeven",NA,NA,NA,NA,1000,0,141,0.418439716312057,-19690,-139.645390070922,0.699618611746758,-0.125478256703737,21700
"Short","fixed",700,600,NA,NA,NA,NA,141,0.411347517730496,-10960,-77.7304964539007,0.77317880794702,-0.125689953425344,15730
"Short","breakeven",NA,NA,NA,NA,600,50,141,0.609929078014184,-18130,-128.581560283688,0.674213836477987,-0.126439785150647,23060
"Short","breakeven",NA,NA,NA,NA,600,20,141,0.609929078014184,-18270,-129.574468085106,0.671698113207547,-0.126930753600265,22870
"Short","breakeven",NA,NA,NA,NA,600,10,141,0.609929078014184,-18670,-132.41134751773,0.664510332434861,-0.129761702813481,23160
"Short","fixed",100,200,NA,NA,NA,NA,141,0.602836879432624,-2700,-19.1489361702128,0.758928571428571,-0.129985076644158,3500
"Short","fixed",100,600,NA,NA,NA,NA,141,0.801418439716312,-5140,-36.4539007092199,0.687347931873479,-0.131736473773528,5400
"Short","fixed",600,700,NA,NA,NA,NA,141,0.475177304964539,-11830,-83.9007092198582,0.763020833333333,-0.132524137222688,14280
"Short","fixed",1000,900,NA,NA,NA,NA,141,0.425531914893617,-16270,-115.390070921986,0.756837542968166,-0.132713131063389,20960
"Short","breakeven",NA,NA,NA,NA,300,0,141,0.205673758865248,-16220,-115.035460992908,0.611403929084811,-0.134497605904076,21330
"Short","breakeven",NA,NA,NA,NA,700,20,141,0.588652482269504,-19910,-141.205673758865,0.66571524513096,-0.134630963756286,24510
"Short","breakeven",NA,NA,NA,NA,800,20,141,0.560283687943262,-20710,-146.879432624113,0.670956466476009,-0.135384854861952,23610
"Short","fixed",100,100,NA,NA,NA,NA,141,0.432624113475177,-1900,-13.4751773049645,0.7625,-0.135509004810894,2500
"Short","breakeven",NA,NA,NA,NA,700,50,141,0.588652482269504,-20010,-141.914893617021,0.664036265950302,-0.135833278543471,24940
"Short","breakeven",NA,NA,NA,NA,700,10,141,0.588652482269504,-20230,-143.475177304965,0.660342511752854,-0.136839539978844,24720
"Short","breakeven",NA,NA,NA,NA,800,10,141,0.560283687943262,-20940,-148.510638297872,0.667302192564347,-0.136919500846039,23690
"Short","fixed",100,500,NA,NA,NA,NA,141,0.773049645390071,-4840,-34.3262411347518,0.692503176620076,-0.137450653099541,5500
"Short","breakeven",NA,NA,NA,NA,800,50,141,0.560283687943262,-21080,-149.503546099291,0.665077851922466,-0.138346603041004,24120
"Short","breakeven",NA,NA,NA,NA,800,0,141,0.397163120567376,-21170,-150.141843971631,0.663647918652685,-0.138453232634068,23770
"Short","breakeven",NA,NA,NA,NA,700,0,141,0.361702127659574,-20550,-145.744680851064,0.654969778374748,-0.139047339981607,24930
"Short","fixed",900,800,NA,NA,NA,NA,141,0.425531914893617,-15410,-109.290780141844,0.748408163265306,-0.139268462200441,21700
"Short","breakeven",NA,NA,NA,NA,400,50,141,0.680851063829787,-17670,-125.31914893617,0.614948790586184,-0.141633908822544,21340
"Short","fixed",400,800,NA,NA,NA,NA,141,0.588652482269504,-11570,-82.0567375886525,0.738057505093955,-0.1419206454271,12530
"Short","fixed",900,1000,NA,NA,NA,NA,141,0.468085106382979,-17540,-124.397163120567,0.737543019601975,-0.143663177118402,23240
"Short","fixed",100,700,NA,NA,NA,NA,141,0.815602836879433,-6240,-44.2553191489362,0.648252536640361,-0.14422745964971,6500
"Short","breakeven",NA,NA,NA,NA,400,20,141,0.680851063829787,-18300,-129.787234042553,0.601220309435607,-0.146021324785499,21550
"Short","fixed",200,300,NA,NA,NA,NA,141,0.524822695035461,-5300,-37.5886524822695,0.736318407960199,-0.150005459472636,6500
"Short","breakeven",NA,NA,NA,NA,400,10,141,0.680851063829787,-18930,-134.255319148936,0.587491828285029,-0.151174943647025,22040
"Short","fixed",700,700,NA,NA,NA,NA,141,0.439716312056738,-14230,-100.921985815603,0.733620366903781,-0.15123435310489,18200
"Short","fixed",200,400,NA,NA,NA,NA,141,0.588652482269504,-6440,-45.6737588652482,0.720486111111111,-0.154699626047319,7000
